saira-condensed;Saira Condensed;200;latin
saira-extra-condensed;Saira Extra Condensed;200;latin
saira-semi-condensed;Saira Semi Condensed;200;latin
source-code-pro;Source Code Pro;200;latin
source-sans-pro;Source Sans Pro;200;latin
spectral;Spectral;200;latin
spectral-sc;Spectral SC;200;latin
tajawal;Tajawal;200;arabic_latin
tajawal;Tajawal;200;latin
titillium-web;Titillium Web;200;latin
trirong;Trirong;200;latin
work-sans;Work Sans;200;latin
yanone-kaffeesatz;Yanone Kaffeesatz;200;latin
bai-jamjuree;Bai Jamjuree;200italic;latin
barlow;Barlow;200italic;latin
barlow-condensed;Barlow Condensed;200italic;latin
barlow-condensed;Barlow Condensed;200italic;latin
barlow-semi-condensed;Barlow Semi Condensed;200italic;latin
exo;Exo;200italic;latin
exo-2;Exo 2;200italic;latin
fahkwang;Fahkwang;200italic;latin
fira-sans;Fira Sans;200italic;latin
fira-sans-condensed;Fira Sans Condensed;200italic;latin
fira-sans-extra-condensed;Fira Sans Extra Condensed;200italic;latin
ibm-plex-mono;IBM Plex Mono;200italic;latin
ibm-plex-sans;IBM Plex Sans;200italic;latin
ibm-plex-sans-condensed;IBM Plex Sans Condensed;200italic;latin
ibm-plex-serif;IBM Plex Serif;200italic;latin
k2d;K2D;200italic;latin
kanit;Kanit;200italic;latin
kanit;Kanit;200italic;thai
kanit;Kanit;200italic;thai_latin
kanit;Kanit;200italic;thai_latin-ext_latin_vietnamese
kodchasan;Kodchasan;200italic;latin
koho;KoHo;200italic;latin
krub;Krub;200italic;latin
libre-franklin;Libre Franklin;200italic;latin
mali;Mali;200italic;latin
montserrat;Montserrat;200italic;latin
montserrat-alternates;Montserrat Alternates;200italic;latin
muli;Muli;200italic;latin
niramit;Niramit;200italic;latin
nunito;Nunito;200italic;latin
nunito-sans;Nunito Sans;200italic;latin
overpass;Overpass;200italic;latin
poppins;Poppins;200italic;latin
prompt;Prompt;200italic;latin
raleway;Raleway;200italic;latin
source-sans-pro;Source Sans Pro;200italic;latin
spectral;Spectral;200italic;latin
spectral-sc;Spectral SC;200italic;latin
titillium-web;Titillium Web;200italic;latin
trirong;Trirong;200italic;latin
advent-pro;Advent Pro;300;latin
alegreya-sans;Alegreya Sans;300;latin
alegreya-sans-sc;Alegreya Sans SC;300;latin
arima-madurai;Arima Madurai;300;latin
assistant;Assistant;300;latin
athiti;Athiti;300;latin
atma;Atma;300;latin-ext_latin_bengali
atma;Atma;300;latin
averia-libre;Averia Libre;300;latin
averia-sans-libre;Averia Sans Libre;300;latin
averia-serif-libre;Averia Serif Libre;300;latin
bai-jamjuree;Bai Jamjuree;300;latin
barlow;Barlow;300;latin
barlow-condensed;Barlow Condensed;300;latin
barlow-condensed;Barlow Condensed;300;latin
barlow-semi-condensed;Barlow Semi Condensed;300;latin
benchnine;BenchNine;300;latin
biorhyme;BioRhyme;300;latin
biorhyme-expanded;BioRhyme Expanded;300;latin
biryani;Biryani;300;latin
buda;Buda;300;latin
cairo;Cairo;300;latin
catamaran;Catamaran;300;latin
chakra-petch;Chakra Petch;300;latin
changa;Changa;300;latin
chathura;Chathura;300;latin
chivo;Chivo;300;latin
codystar;Codystar;300;latin
comfortaa;Comfortaa;300;latin
cormorant;Cormorant;300;latin
cormorant-garamond;Cormorant Garamond;300;latin
cormorant-infant;Cormorant Infant;300;latin
cormorant-sc;Cormorant SC;300;latin
cormorant-unicase;Cormorant Unicase;300;latin
cormorant-upright;Cormorant Upright;300;latin
dosis;Dosis;300;latin
encode-sans;Encode Sans;300;latin
encode-sans-condensed;Encode Sans Condensed;300;latin
encode-sans-expanded;Encode Sans Expanded;300;latin
encode-sans-semi-condensed;Encode Sans Semi Condensed;300;latin
encode-sans-semi-expanded;Encode Sans Semi Expanded;300;latin
exo;Exo;300;latin
exo-2;Exo 2;300;latin
fahkwang;Fahkwang;300;latin
fira-sans;Fira Sans;300;latin
fira-sans-condensed;Fira Sans Condensed;300;latin
fira-sans-extra-condensed;Fira Sans Extra Condensed;300;latin
flamenco;Flamenco;300;latin
frank-ruhl-libre;Frank Ruhl Libre;300;latin
gaegu;Gaegu;300;latin
gothic-a3;Gothic A3;300;latin
halant;Halant;300;latin-ext_latin_devanagari
halant;Halant;300;latin
heebo;Heebo;300;latin
hind;Hind;300;latin-ext_latin_devanagari
hind-guntur;Hind Guntur;300;latin-ext_telugu_latin
hind-madurai;Hind Madurai;300;latin-ext_tamil_latin
hind-siliguri;Hind Siliguri;300;latin_bengali
